district,neighborhood,room,living_room,area,age,floor,price
 Şişli , Cumhuriyet Mah.,1,1,70,3,1,40000
 Beşiktaş , Mecidiye Mah.,1,1,100,1,0,100000
 Beşiktaş , Levent Mah.,1,1,130,11,6,110000
 Şişli , Teşvikiye Mah.,1,1,120,0,12,105000
 Beşiktaş , Nisbetiye Mah.,3,1,232,1,20,275000
 Beşiktaş , Ortaköy Mah.,2,1,120,26,2,50000
 Beşiktaş , Kuruçeşme Mah.,2,1,80,31,3,115000
 Beşiktaş , Nisbetiye Mah.,1,1,65,5,2,68750
 Beşiktaş , Nisbetiye Mah.,3,1,326,5,8,300000
 Kağıthane , Emniyet Evleri Mah.,3,1,330,5,11,180000
 Sarıyer , Ferahevler Mah.,3,1,230,26,0,45000
 Beşiktaş , Levent Mah.,2,1,280,5,21,175000
 Beşiktaş , Levent Mah.,2,1,250,5,14,150000
 Beşiktaş , Levent Mah.,4,1,550,5,21,310000
 Sarıyer , Ayazağa Mah.,1,1,70,4,6,45000
 Şişli , Fulya Mah.,1,1,130,4,20,95000
 Beşiktaş , Levent Mah.,3,1,220,5,13,170000
 Kağıthane , Emniyet Evleri Mah.,1,1,150,5,13,75000
 Kağıthane , Emniyet Evleri Mah.,1,1,125,11,20,80000
 Sarıyer , Uskumruköy Mah.,3,1,220,5,0,175000
 Şişli , Fulya Mah.,1,1,60,3,9,80000
 Şişli , Teşvikiye Mah.,1,1,110,0,3,90000
 Beşiktaş , Dikilitaş Mah.,1,1,100,11,6,60000
 Beşiktaş , Levent Mah.,3,1,250,5,13,180000
 Beşiktaş , Levent Mah.,2,1,270,5,21,150000
 Beşiktaş , Levent Mah.,5,1,390,5,21,240000
 Beşiktaş , Levent Mah.,3,1,360,5,11,190000
 Beşiktaş , Levent Mah.,2,1,190,5,8,185000
 Beşiktaş , Levent Mah.,1,1,150,5,21,95000
 Sarıyer , Ayazağa Mah.,1,1,65,3,7,45000
 Kağıthane , Seyrantepe Mah.,1,1,80,3,13,45000
 Sarıyer , Huzur Mah.,2,1,135,5,21,75000
 Sarıyer , Maslak Mah.,1,1,85,5,14,45000
 Kağıthane , Emniyet Evleri Mah.,1,1,150,5,21,85000
 Sarıyer , Maslak Mah.,3,1,190,5,20,80000
 Sarıyer , Maslak Mah.,1,1,90,5,5,45000
 Beşiktaş , Levent Mah.,2,1,220,5,14,160000
 Şişli , Esentepe Mah.,2,1,90,21,5,49000
 Şişli , Teşvikiye Mah.,1,0,45,26,2,35000
 Şişli , Meşrutiyet Mah.,2,1,90,26,1,53000
 Beşiktaş , Levent Mah.,3,1,155,26,2,40000
 Beşiktaş , Konaklar Mah.,1,1,60,21,4,35000
 Beşiktaş , Levent Mah.,2,1,220,5,21,200000
 Beşiktaş , Levent Mah.,1,1,120,15,15,80000
 Şişli , Teşvikiye Mah.,1,1,35,26,2,30000
 Beyoğlu , Hacımimi Mah.,2,1,120,31,0,100000
 Sarıyer , Maslak Mah.,4,1,280,10,11,150000
 Beşiktaş , Ulus Mah.,3,1,150,35,3,75000
 Beşiktaş , Yıldız Mah.,3,1,180,30,2,140000
 Şişli , İnönü Mah.,2,1,80,40,0,25000
 Eyüpsultan , Güzeltepe Mah.,3,1,135,30,5,25000
 Sarıyer , Tarabya Mah.,3,2,300,31,1,250000
 Beşiktaş , Türkali Mah.,2,1,90,5,1,45000
 Sarıyer , Huzur Mah.,3,1,161,8,13,115000
 Sarıyer , Maden Mah.,3,1,180,0,3,86500
 Sarıyer , Maden Mah.,3,1,180,0,3,86500
 Sarıyer , Zekeriyaköy Mah.,4,1,300,4,2,130000
 Beşiktaş , Kuruçeşme Mah.,3,1,380,31,2,255000
 Sarıyer , Huzur Mah.,1,1,80,4,1,52000
 Sarıyer , Tarabya Mah.,2,1,110,26,0,60000
 Sarıyer , Cumhuriyet Mah.,3,1,100,30,2,75000
 Sarıyer , Zekeriyaköy Mah.,3,1,136,25,3,45000
 Beşiktaş , Konaklar Mah.,3,1,140,30,2,60000
 Sarıyer , Zekeriyaköy Mah.,1,1,55,30,1,28000
 Sarıyer , Zekeriyaköy Mah.,2,1,125,10,1,75000
 Bakırköy , Kartaltepe Mah.,2,1,110,26,3,32000
 Kadıköy , Feneryolu Mah.,3,1,120,5,9,89900
 Kadıköy , Feneryolu Mah.,3,1,135,24,4,64000
 Beyoğlu , Kalyoncu Kulluğu Mah.,1,1,60,35,1,20250
